任务ID,任务名称,类型,模块,负责人,协作部门,优先级,状态,截止时间,预计工时（Story Point）,关联需求,备注,实际状态,证据,最近证据时间
TASK-001,需求梳理流式工作流基础已接通,Feature,AI,AI 工程师,"AI,后端",P0,Done,2026-04-08,1,REQ-001,"现有代码已具备 requirement stream 与 LangGraph 编排主链路；初始化重置（2026-04-04）；基础实现已存在，待按新标准复核；复核证据（2026-04-04）: 实现=adapters/http_api/src/xiaocai_instance_api/chat/router.py; 接口=POST /chat/run,/chat/stream; 测试=adapters/http_api/tests/test_chat.py + frame/web/src/hooks/useChat.test.tsx + frame/web/src/pages/ChatPage.test.tsx; gate=bash scripts/req-001-check.sh 通过 | 历史完成项保留，不纳入当前P0主线。",Done,历史复核证据见备注；gate=bash scripts/req-001-check.sh 通过,2026-04-04
TASK-014,Project 数据模型与接口,Feature,后端,后端工程师,后端,P0,Done,2026-04-20,2,REQ-004,补齐 Project 创建查询重命名归档等基础能力；初始化重置（2026-04-04） | 2026-04-16 任务重排：冻结/延后（UI先行、平台泛化、P0无关场景、过早管理页、潜在FLARE Core主流程改动风险），主线切换为 domain pack 资产化。 | 2026-05-01 仓内复核：project 归属、列表、名称更新与 usage 汇总接口已落地，任务转 Done。,Done,文件=adapters/http_api/src/xiaocai_instance_api/projects/router.py|adapters/http_api/src/xiaocai_instance_api/storage/ownership_store.py; 测试=adapters/http_api/tests/test_project_ownership.py::test_project_bind_and_list + test_project_name_update_persists + test_chat_requires_project_ownership,2026-05-01
TASK-015,会话文件知识归属到 Project,Feature,后端,后端工程师,"后端,前端",P0,Done,2026-04-20,2,REQ-004,把会话文件知识内容从 session 级散点关系收口到 Project；初始化重置（2026-04-04） | 2026-04-16 任务重排：冻结/延后（UI先行、平台泛化、P0无关场景、过早管理页、潜在FLARE Core主流程改动风险），主线切换为 domain pack 资产化。 | 2026-05-01 仓内复核：source 记录已同时归属 project_id / session_id，并通过 project 权限隔离，任务转 Done。,Done,文件=adapters/http_api/src/xiaocai_instance_api/sources/router.py|adapters/http_api/src/xiaocai_instance_api/storage/source_store.py; 测试=adapters/http_api/tests/test_sources.py::test_source_upload_list_delete + test_source_search_folder_and_mark_referenced + test_security_isolation.py::test_source_list_download_and_delete_isolation,2026-05-01
TASK-DP-002,activity pack 配置化（fields/question_flow/analysis/sourcing/scorecard/artifact_mapping）,Feature,DomainPack,AI 工程师,"AI,采购运营",P0,Done,2026-04-19,3,REQ-001/REQ-002,把活动采购文档转成机器可读配置；不扩展新场景。 | 每完成该任务必须更新 docs/flare-dependency-gap-log.md。 | 已完成活动场景配置化落盘（字段/补问/分析/寻源/评分/产物映射）。,Done,文件=domain-packs/activity_procurement/fields.yaml|question_flow.yaml|analysis_template.md|sourcing_rules.yaml|supplier_scorecard.yaml|artifact_mapping.yaml,2026-04-16
TASK-DP-003,gift pack 配置化（fields/question_flow/analysis/sourcing/scorecard/artifact_mapping）,Feature,DomainPack,AI 工程师,"AI,采购运营",P0,Done,2026-04-19,3,REQ-001/REQ-002,把礼品定制文档转成机器可读配置；不扩展新场景。 | 每完成该任务必须更新 docs/flare-dependency-gap-log.md。 | 已完成礼品场景配置化落盘（字段/补问/分析/寻源/评分/产物映射）。,Done,文件=domain-packs/gift_customization/fields.yaml|question_flow.yaml|analysis_template.md|sourcing_rules.yaml|supplier_scorecard.yaml|artifact_mapping.yaml,2026-04-16
TASK-DP-008,最小 loader / mount 接入（仅实例层双读）,Feature,后端,后端工程师,"AI,后端",P0,Done,2026-04-22,2,REQ-001/REQ-002,以最小改动挂载新domain-packs，保留旧domain-pack兼容；不改FLARE Core主流程。 | 每完成该任务必须更新 docs/flare-dependency-gap-log.md。 | 已完成最小mount接入：保留legacy读取，新增new domain-packs探测与mount snapshot双读兼容。,Done,文件=adapters/http_api/src/xiaocai_instance_api/chat/orchestration/contract_loader.py; 校验=python3 -m py_compile .../contract_loader.py (OK),2026-04-16
TASK-DP-011,推荐策略管理资产化（模板/建议/时机/权重，无UI）,Feature,DomainPack,AI 工程师,"AI,后端,采购运营",P0,Done,2026-04-23,2,REQ-001/REQ-002,新增推荐策略配置资产：template_recommendation_rules.yaml + recommendation_policy_registry.yaml + recommendation_audit_schema.yaml；不做UI，不改FLARE Core主流程。每完成该任务必须更新 docs/flare-dependency-gap-log.md。 | 已完成推荐策略管理资产化（时机/权重/解释/版本/回滚字段）。,Done,文件=domain-packs/shared/rules/template_recommendation_rules.yaml|domain-packs/shared/rules/recommendation_policy_registry.yaml|domain-packs/shared/artifacts/recommendation_audit_schema.yaml; 校验=scripts/validate_domain_packs.py --root domain-packs => [OK],2026-04-16
TASK-DEV-001,附件存储元数据与context优先级信号落地（instance侧）,Feature,后端,后端工程师,"AI,后端",P0,Done,2026-04-16,2,REQ-002,真实存储元数据增强（source_type/date_bucket/time_bucket/context_priority），不改FLARE Core主流程。,Done,文件=adapters/http_api/src/xiaocai_instance_api/storage/source_store.py|sources/router.py; 校验=python3 -m py_compile ... (OK),2026-04-16
TASK-DEV-002,检索策略输入结构输出（preferred_sources/source_weights/context_refs）,Feature,后端,后端工程师,"AI,后端",P0,Done,2026-04-16,1,REQ-002,新增instance侧retrieval policy signal输出接口，不改FLARE Core主流程。,Done,文件=adapters/http_api/src/xiaocai_instance_api/storage/source_policy.py|retrieval/router.py; 校验=python3 -m py_compile ... (OK),2026-04-16
TASK-DEV-004,Chat上下文注入检索策略信号（adapter层）,Feature,后端,后端工程师,"AI,后端",P0,Done,2026-04-16,1,REQ-002,在chat/run与chat/stream向kernel context注入retrieval_policy/context_refs信号，不改FLARE Core主流程。,Done,文件=adapters/http_api/src/xiaocai_instance_api/chat/context_policy.py|chat/router.py; 校验=python3 -m py_compile ... (OK),2026-04-16
