字段名称,业务含义,数据口径,必填,示例值,适用模块
公司名称,供应商公司全称,文本,是,深圳市xxx电子有限公司,智能寻源
统一社会信用代码,供应商主体识别码,18位统一社会信用代码,是,91440300XXXXXXXXXX,智能寻源
主营品类,供应商主营业务分类,一级/二级品类,是,电子元器件/集成电路,智能寻源
成立年份,供应商成立年份,YYYY,否,2010,智能寻源
地区,供应商所在城市或区域,省/市,是,深圳,智能寻源
服务区域,供应商可交付区域,省/市/全国,否,华南,智能寻源
资质,供应商认证与资质,多个值用分号分隔,是,ISO9001;CE,智能寻源
营业执照文件,供应商营业执照附件,文件名或链接,是,营业执照2026.pdf,智能寻源
纳税资质,开票税务资质,一般纳税人/小规模纳税人,是,一般纳税人,智能寻源
履约能力,供应商交付与服务能力,文本或量化说明,否,同类项目年交付>=500台,智能寻源
历史案例,同类项目履约案例,项目名称 金额 时间 客户,是,某集团采购 320万 2025,智能寻源
历史订单数,历史合作次数,整数,否,15,智能寻源
综合评分,供应商综合评分,0-100或0-5,否,95,智能寻源
匹配度,与当前需求匹配程度,0-100分,是,95,智能寻源
推荐等级,系统推荐强度,强烈推荐/推荐/备选,是,强烈推荐,智能寻源
匹配说明,为什么推荐该供应商,不超过300字,是,品类 地域 年限 资质全部匹配且历史合作稳定,智能寻源
风险提示,供应商风险与限制点,不超过300字,否,近12个月无重大诉讼 但交期波动需关注,智能寻源
数据来源,供应商信息来源,站内/站外,是,站内,智能检索;智能寻源
更新时间,画像数据最近更新时间,YYYY-MM-DD,是,2026-04-04,智能寻源
