字段名称,业务含义,数据口径,必填,示例值,适用模块
项目名称,本次采购项目的名称,简洁明确不超过50字,是,2026年办公设备采购项目,需求梳理;需求分析;RFX策略;智能检索;智能寻源
采购目的,为什么要采购和希望解决什么问题,描述业务背景和目标不超过200字,是,支持新团队入驻并提升交付效率,需求梳理;需求分析;RFX策略;智能检索;智能寻源
需求提出人,谁提出这个需求,姓名或岗位,是,行政经理,需求梳理;需求分析;RFX策略;智能检索;智能寻源
需求来源,该需求来自哪里,业务发起/管理层指令/合规整改/客户项目,是,业务发起,需求梳理;需求分析;RFX策略;智能检索;智能寻源
使用场景,采购结果将用于什么场景,按实际业务场景描述,是,新办公室日常办公,需求梳理;需求分析;RFX策略;智能检索;智能寻源
影响范围（部门/区域）,该需求影响哪些团队或区域,部门/区域列表,否,市场部 华东区,需求梳理;需求分析;RFX策略;智能检索;智能寻源
一级品类,采购的大类,从一级品类目录选择,是,办公设备,需求梳理;需求分析;RFX策略;智能检索;智能寻源
二级品类,采购的子类,从二级品类目录选择,是,办公电脑,需求梳理;需求分析;RFX策略;智能检索;智能寻源
细分类目,更细的采购对象,可自由填写或按目录选择,否,轻薄本,需求梳理;需求分析;RFX策略;智能检索;智能寻源
数量,预计采购数量,正整数,是,100,需求梳理;需求分析;RFX策略;智能检索;智能寻源
单位,计量单位,标准单位,是,台,需求梳理;需求分析;RFX策略;智能检索;智能寻源
预算金额,本次采购预算上限,人民币金额（含税）,是,500000,需求梳理;需求分析;RFX策略;智能检索;智能寻源
预算币种,预算所用币种,标准币种代码,是,CNY,需求梳理;需求分析;RFX策略;智能检索;智能寻源
交付时间,希望完成交付的时间,YYYY-MM-DD,是,2026-05-31,需求梳理;需求分析;RFX策略;智能检索;智能寻源
交付地点,收货或服务地点,详细地址,是,北京市朝阳区xxx路xx号,需求梳理;需求分析;RFX策略;智能检索;智能寻源
响应时效,从提交到首次方案反馈时限,小时或工作日,否,48小时内,需求梳理;需求分析;RFX策略;智能检索;智能寻源
交付方式,一次交付或分批交付,一次性/分批,否,分2批交付,需求梳理;需求分析;RFX策略;智能检索;智能寻源
需求描述,关键功能与规格说明,可分点描述，建议100-500字,是,用于设计团队的高性能办公设备,需求分析;RFX策略;智能检索;智能寻源
特殊要求,安装实施或其他特殊要求,按实际说明,否,需现场安装调试并做初次培训,需求分析;RFX策略;智能检索;智能寻源
保密等级,该需求信息的保密要求,公开/内部/受限,否,内部,需求分析;RFX策略;智能检索;智能寻源
技术要求,关键参数明细,按条目填写,否,CPU i7/16GB/512GB SSD,需求分析;RFX策略;智能检索;智能寻源
质量标准,质量验收标准,可量化标准,是,开机通过率>=99%,需求分析;RFX策略;智能检索;智能寻源
验收口径,最终如何判定合格,可执行的验收口径,是,抽检合格率>=99%且无重大故障,需求分析;RFX策略;智能检索;智能寻源
风险等级,该需求的整体风险等级,高/中/低,否,中,需求分析;RFX策略;智能检索;智能寻源
风险说明,主要风险点和担忧,不超过200字,否,交期不稳定导致项目延期,需求分析;RFX策略;智能检索;智能寻源
供应商资质,供应商基础准入要求,如年限规模资质等,否,成立>=3年且可开专票,智能寻源
履约能力,交付与服务能力要求,可量化要求,否,同类项目年交付>=500台,智能寻源
候选数量,本轮计划邀请的供应商数量,正整数,否,8,智能寻源
供应商区域,供应商地域限制,全国/指定地区/本地优先,否,华东优先,智能寻源
允许新供应商,未合作过供应商是否可参与,是/否,否,是,智能寻源
RFX类型,本次采购方式倾向,RFI/RFQ/RFP/RFB,是,RFQ,RFX策略;智能检索;智能寻源
付款条款,付款条件和账期,按里程碑或账期描述,是,30%预付+70%验收后30天,RFX策略;智能检索;智能寻源
发票类型,发票类型与税率,明确票种税率,是,增值税专票13%,RFX策略;智能检索;智能寻源
关键条款,合同中必须包含的条款,按关键点列出,否,违约责任与数据安全条款,RFX策略;智能检索;智能寻源
评估项,供应商评估维度,价格/质量/交付/服务等,是,价格 质量 交付 服务,RFX策略;智能检索;智能寻源
权重,各评估维度权重,总和=100,是,40/30/20/10,RFX策略;智能检索;智能寻源
比价轮数,计划进行几轮报价比较,正整数,否,2,RFX策略;智能检索;智能寻源
谈判要点,希望重点谈什么条件,不超过200字,否,优先锁定交付与质保条款,RFX策略;智能检索;智能寻源
里程碑,关键时间节点,发标/答疑/回标/评审/定标,是,4-10/4-12/4-18/4-20/4-22,RFX策略;智能检索;智能寻源
决策人,谁负责最终决策,姓名或岗位,是,合伙人,RFX策略;智能检索;智能寻源
历史项目,可复用的历史项目或案例,名称或链接,否,2025Q4办公设备采购项目,智能检索;智能寻源
行业资料,业务认可的外部行业资料,报告名称或链接,否,某咨询机构2025IT设备行情报告,智能检索;智能寻源
内部制度,本需求应遵循的内部规则,制度名称或版本,否,采购审批制度v3,智能检索;智能寻源
知识库标签,后续归档时的知识标签,多个标签用分号分隔,否,办公设备;RFQ;华东,智能检索;智能寻源
沉淀为案例,本单是否纳入知识库标准案例,是/否,否,是,智能检索;智能寻源
输出物,希望最终交付什么材料,可多项,是,分析报告+供应商推荐清单+RFX文件,RFX策略;智能检索;智能寻源
输出格式,交付文件格式,Word/PDF/Excel,是,Word+Excel,RFX策略;智能检索;智能寻源
附件,已存在可参考资料,文件名或链接,否,历史采购记录2025.xlsx,需求梳理;需求分析;RFX策略;智能检索;智能寻源
统一社会信用代码,供应商法定主体识别码,18位统一社会信用代码,是,91310000MA1K12345X,智能寻源;RFX策略
