字段名称,业务含义,数据口径,必填,示例值,适用模块
报告编号,需求分析报告唯一编号,系统编码,是,ANL-2026-0001,需求分析;RFX策略
项目名称,对应采购项目名称,文本,是,2026年办公设备采购项目,需求分析;RFX策略
项目ID,对应项目唯一ID,系统编码,是,PR-2025-001,需求分析;RFX策略
报告版本,报告版本号,vX.Y,是,v1.0,需求分析;RFX策略
生成时间,报告生成时间,YYYY-MM-DD HH:mm,是,2026-04-04 18:20,需求分析
报告负责人,报告确认责任人,姓名或岗位,是,采购经理,需求分析
需求摘要,本次需求核心摘要,100-500字,是,为新办公室采购100台办公电脑并满足交期要求,需求分析
采购目标,本次采购目标与预期结果,文本,是,保证5月31日前完成交付并控制预算,需求分析
范围说明,本次采购范围边界,包含项/不包含项,是,包含电脑及基础配件 不含装修,需求分析
关键假设,分析时采用的关键前提,条目列表,否,预算不变 交付地点不变,需求分析
约束条件,必须遵守的限制条件,条目列表,是,预算上限50万 必须开专票,需求分析;RFX策略
优先级结论,需求优先级判断结果,P0/P1/P2,是,P0,需求分析
分析维度,本次分析覆盖维度,成本/质量/交付/服务等,是,成本 质量 交付 服务,需求分析;RFX策略
维度权重,各分析维度权重,总和=100,是,40/30/20/10,需求分析;RFX策略
风险清单,识别出的主要风险项,条目列表,是,交期波动 供应商集中度高,需求分析;RFX策略
风险等级,综合风险级别,高/中/低,是,中,需求分析;RFX策略
应对建议,针对风险的应对动作,条目列表,是,设置备选供应商 增加交付缓冲,需求分析;RFX策略
合规要求,法规与内部制度要求,条目列表,否,采购审批制度v3,需求分析;RFX策略
质量标准,质量验收标准定义,可量化标准,是,开机通过率>=99%,需求分析;RFX策略
验收口径,验收判定规则,条目列表,是,抽检合格率>=99%且无重大故障,需求分析;RFX策略
RFX建议类型,建议采用的RFX类型,RFI/RFQ/RFP/RFB,是,RFQ,需求分析;RFX策略
RFX建议理由,推荐该RFX类型原因,不少于20字,是,规格明确且供应商可比性高,需求分析;RFX策略
建议供应商范围,建议候选供应商范围,数量+范围说明,否,8家 华东优先,需求分析;智能寻源;RFX策略
建议里程碑,建议执行时间节点,发标/答疑/回标/评审/定标,是,4-10/4-12/4-18/4-20/4-22,需求分析;RFX策略
输出物清单,报告关联输出物,可多项,是,分析报告 RFX策略单 供应商清单,需求分析;RFX策略
审批状态,报告审批状态,draft/pending/approved/rework,是,pending,需求分析;RFX策略
审批意见,审批反馈意见,不超过300字,否,补充供应商风险说明后再提交,需求分析;RFX策略
下一步动作,报告后的执行动作,条目列表,是,进入RFX策略配置并发起智能寻源,需求分析;RFX策略;智能寻源
备注,补充说明,自由文本,否,本次为一期试点项目,需求分析
